step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,a-scenic-and,0.5235368695175439,0.5067079463364306,0.9,,When was this map Drawn?,This map was drawn in 1939.,,,,,,,,
2,a-scenic-and,0.4770114756652593,0.31043766141925844,1.8662400000000006,,Who drew this map?,"This map was created by the Santa Barbara Chamber of Commerce with contributions from M. Gorham and J. Gorham.
",,,,,,,,
3,a-scenic-and,0.2804023531584409,0.5633657920663295,3.9334233937239627,,What is this map providing us with?,This scenic and recreational map of Santa Barbara County was drawn to highlight the major beautiful cities and give recommendations of scenic routes to take throughout the county to gain the fullest experience.,,,,,,,,
4,a-scenic-and,0.6303266158350458,0.46143427692408173,5.6641296869625055,,What are all the little illustrations?,"These are artistic inscriptions of local flora and fauna, as well as recreational activities that suggest the area's offerings. ",,,,,,,,
5,a-scenic-and,0.3248699600575075,0.3204586708170643,8.156346749226008,,What is the deeper purpose historically?,"This map can provide historical insight and knowledge of Santa Barbara County, including historical camps, cultural landmarks, and long lasting ranches. In the late 1930s automobile travel was becoming increasingly popular and this map was designed to be used as a tool to attract tourism and encourage exploration. The map underscores the historical influence of Spanish colonization, highlighting the persistence of ranches operated by descendants of California's Spanish pioneers.",,,,,,,,
