step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,1993-ucsb-library,0.45504309026508727,0.4943897393265296,0.9308390400000001,,What happens when students can't find a place to study?,"At UCSB in the 1990s, limited study space became more than a small inconvenience. During the busiest academic weeks, access to quiet space became a visible source of student frustration and activism.",,Learn more,no-room-to-9uuf-learn-more.md,,,,,
2,looking-for-a-meeting-room-bulletin,0.5396888420595759,0.6534261319659443,1.44,,Was UCSB already running out of student space?,"Yes. During the early 1990s UCEN Expansion Project, UCSB had to direct students and campus groups to alternate meeting rooms because available space was limited.",,Learn more,no-room-to-9uuf-step2-layer1.md,Go deeper,no-room-to-9uuf-go-deeper.md,,,
3,ucen-student-survey,0.5324662137294921,0.6457204832147276,1.5552,,Were students being asked what they needed?,"The UCEN survey shows UCSB trying to understand how students experienced campus space, not just how much space existed.",,Learn more,no-room-to-9uuf-step3-layer1.md,Go deeper,no-room-to-9uuf-step3-layer2.md,,,
4,concerned-students-library-occupation,0.5,0.5,1,,What happened when students stopped waiting?,"In 1993, a student group called Concerned Students organized a library occupation to demand 24-hour access during Dead Week and Finals Week, along with expanded study space.",,Learn more,no-room-to-9uuf-step4-layer1.md,Go deeper,no-room-to-9uuf-step4-layer2.md,,,
5,wake-up-open-24-hours,0.5002450312966571,0.3411572215130907,1.2820168271987158,,How did students make people pay attention?,"Their flyers used urgent language like ""WAKE UP!"" to turn a quiet problem of library access into a visible campus-wide demand.",,Learn more,no-room-to-9uuf-step5-layer1.md,Go deeper,no-room-to-9uuf-step5-layer2.md,,,
6,daily-nexus-space,0.5173965186403506,0.4800792986471076,0.9,,Did the shortage go away?,"Not completely. By 1998, UCSB reportedly had about 2,600 study spaces when enrollment suggested it needed closer to 4,750.",,Learn more,no-room-to-9uuf-step6-layer1.md,,,,,
7,library-overcrowding,0.4747497236676344,0.5335565227105359,1.8662400000000003,,What has really changed?,"Students today still search for seats, quiet floors, outlets, and places to work during the busiest weeks of the quarter. The struggle over study space did not begin with us.",,Learn more,no-room-to-9uuf-step7-layer1.md,,,,,
